ticker,date,rs_return_60d,kospi_return_60d,rs_percentile
092730,2024-01-10,0.11284540702016432,0.03494493414490152,0.7464730290456432
237880,2024-01-10,0.2780952380952382,0.03494493414490152,0.9136929460580913
036630,2024-01-10,0.5205208038494198,0.03494493414490152,0.9684647302904564
323410,2024-01-11,0.28293736501079914,0.04270104751584425,0.8946058091286307
041190,2024-01-11,1.4639016897081412,0.04270104751584425,0.9946058091286307
002310,2024-01-11,0.0903225806451613,0.04270104751584425,0.6576763485477178
084730,2024-01-11,0.3356890459363957,0.04270104751584425,0.9215767634854771
003280,2024-01-12,1.6019108280254777,0.026372161273408024,0.995850622406639
002310,2024-01-15,0.11528497409326421,0.02574108665637942,0.7507258399004563
138040,2024-01-16,0.19569471624266144,0.03385627949333547,0.8258706467661692
089030,2024-01-16,0.6343381389252949,0.03385627949333547,0.9755389718076285
405100,2024-01-17,0.43505976095617527,0.02564210526315791,0.9461028192371476
039030,2024-01-19,0.17507987220447285,0.037436385834336505,0.8001658374792703
080220,2024-01-19,5.279904306220096,0.037436385834336505,0.9995854063018242
093320,2024-01-19,0.43546441495778043,0.037436385834336505,0.9436152570480929
005430,2024-01-19,0.4051948051948051,0.037436385834336505,0.9373963515754561
047560,2024-01-19,1.9915837796480491,0.037436385834336505,0.9975124378109452
082210,2024-01-19,0.5865051903114187,0.037436385834336505,0.9713930348258707
124500,2024-01-22,2.048744460856721,0.04281537087894649,0.9966832504145937
253590,2024-01-22,2.730718954248366,0.04281537087894649,0.9979270315091211
079940,2024-01-22,0.24205061648280335,0.04281537087894649,0.8569651741293532
065680,2024-01-22,0.2922374429223744,0.04281537087894649,0.8913764510779436
264850,2024-01-22,0.2846975088967971,0.04281537087894649,0.8876451077943616
142210,2024-01-22,0.9810040705563094,0.04281537087894649,0.988391376451078
399720,2024-01-23,1.225806451612903,0.0780877568418672,0.9896394529631165
211050,2024-01-23,0.3418079096045197,0.0780877568418672,0.888520513883133
052860,2024-01-23,0.6275395033860045,0.0780877568418672,0.9656029838375466
115610,2024-01-23,0.8838571149716963,0.0780877568418672,0.9821798590965602
194370,2024-01-24,0.2707535121328224,0.07246798476643757,0.8425849212924607
123410,2024-01-24,0.4036544850498338,0.07246798476643757,0.9208782104391052
114840,2024-01-24,0.3313136209403782,0.07246798476643757,0.8889809444904723
000500,2024-01-25,0.6638144133865753,0.06915669429356641,0.971830985915493
073240,2024-01-25,0.3532110091743119,0.06915669429356641,0.9105219552609777
003850,2024-01-25,0.4031007751937985,0.06915669429356641,0.9304059652029826
003540,2024-01-26,0.0585714285714285,0.08804691855539315,0.5020712510356256
065350,2024-01-26,1.327698309492848,0.08804691855539315,0.9917149958574979
286940,2024-01-26,0.8960573476702509,0.08804691855539315,0.980115990057995
042510,2024-01-26,0.39336807200378976,0.08804691855539315,0.9101077050538525
316140,2024-01-29,0.11774461028192373,0.08650219850883745,0.6727423363711682
024110,2024-01-29,0.07460035523978692,0.08650219850883745,0.5774647887323944
005387,2024-01-29,0.1908091908091909,0.08650219850883745,0.7908036454018227
138930,2024-01-29,0.08797653958944274,0.08650219850883745,0.6097763048881525
005385,2024-01-29,0.19057171514543625,0.08650219850883745,0.7903893951946976
139130,2024-01-29,0.11489898989898983,0.08650219850883745,0.6661143330571665
003540,2024-01-29,0.07746979388770425,0.08650219850883745,0.5869925434962717
000640,2024-01-29,0.07708141027681403,0.08650219850883745,0.5861640430820215
003545,2024-01-29,0.04491017964071853,0.08650219850883745,0.49130074565037285
005389,2024-01-29,0.18756268806419252,0.08650219850883745,0.7862468931234465
002310,2024-01-29,0.08953341740226994,0.08650219850883745,0.6135045567522783
078930,2024-01-30,0.11557788944723613,0.06644559390897609,0.7246376811594203
088350,2024-01-30,0.13584905660377355,0.06644559390897609,0.7594202898550725
085620,2024-01-30,0.1620795107033639,0.06644559390897609,0.8
003540,2024-01-30,0.09679715302491099,0.06644559390897609,0.6782608695652174
003090,2024-01-30,0.4104234527687296,0.06644559390897609,0.9453416149068323
000640,2024-01-30,0.12617431861889083,0.06644559390897609,0.7432712215320911
003545,2024-01-30,0.04921700223713654,0.06644559390897609,0.5614906832298137
028260,2024-01-31,0.28611369990680346,0.05436297153280356,0.9172527927182458
316140,2024-01-31,0.14332784184514002,0.05436297153280356,0.8146462556888705
024110,2024-01-31,0.10698496905393462,0.05436297153280356,0.7596193628465039
078930,2024-01-31,0.13480392156862742,0.05436297153280356,0.8059577989242863
138930,2024-01-31,0.10735294117647065,0.05436297153280356,0.7604468349193215
139130,2024-01-31,0.12907268170426067,0.05436297153280356,0.7952006619776583
402340,2024-02-01,0.13559322033898313,0.0160208122699681,0.829954489035995
105560,2024-02-01,0.10053859964093359,0.0160208122699681,0.7683078196110881
000810,2024-02-01,0.10076045627376429,0.0160208122699681,0.7687215556474969
267250,2024-02-01,0.1900826446280992,0.0160208122699681,0.8841539098055441
024110,2024-02-01,0.13385146804835935,0.0160208122699681,0.8254033926354986
030200,2024-02-01,0.10149253731343277,0.0160208122699681,0.7703764997931319
005940,2024-02-01,0.08373904576436231,0.0160208122699681,0.7352089366983864
005830,2024-02-01,0.062427745664739964,0.0160208122699681,0.6859743483657427
029780,2024-02-01,0.09062499999999996,0.0160208122699681,0.752172114191146
138930,2024-02-01,0.11789772727272729,0.0160208122699681,0.800992966487381
005385,2024-02-01,0.19727891156462585,0.0160208122699681,0.8907736863880844
175330,2024-02-01,0.16805942432683385,0.0160208122699681,0.8667769962763757
139130,2024-02-01,0.19512195121951215,0.0160208122699681,0.8887050062060405
003540,2024-02-01,0.11621433542101611,0.0160208122699681,0.7985105502689285
000815,2024-02-01,0.12340896513558386,0.0160208122699681,0.8092676872155565
082640,2024-02-01,0.224118316268487,0.0160208122699681,0.9073231278444353
003545,2024-02-01,0.06513693560325695,0.0160208122699681,0.6909391808026479
005389,2024-02-01,0.20392156862745092,0.0160208122699681,0.8953247827885809
002310,2024-02-01,0.13427109974424556,0.0160208122699681,0.8262308647083161
003960,2024-02-01,0.29370629370629375,0.0160208122699681,0.9414563508481589
105560,2024-02-02,0.26768642447418745,0.07011162212147504,0.9119106699751861
055550,2024-02-02,0.29243937232524964,0.07011162212147504,0.9251447477253929
000810,2024-02-02,0.2056451612903225,0.07011162212147504,0.8730355665839536
030200,2024-02-02,0.17889908256880727,0.07011162212147504,0.8490488006617039
005940,2024-02-02,0.10794896957801758,0.07011162212147504,0.7377998345740281
005830,2024-02-02,0.1561771561771561,0.07011162212147504,0.8163771712158809
081660,2024-02-02,0.054777070063694255,0.07011162212147504,0.6062861869313482
000120,2024-02-02,0.9161290322580644,0.07011162212147504,0.9909015715467329
000640,2024-02-02,0.11995811563077652,0.07011162212147504,0.7659222497932175
002380,2024-02-05,0.12190082644628109,0.07007292638812035,0.7729528535980149
088350,2024-02-05,0.3566176470588236,0.07007292638812035,0.9478908188585607
252990,2024-02-06,0.5752895752895753,0.06144008438123172,0.9777043765483072
004490,2024-02-06,0.2547528517110267,0.06144008438123172,0.9087530966143683
025900,2024-02-06,0.2792319077666121,0.06144008438123172,0.9203137902559868
001940,2024-02-07,0.3225058004640371,0.08296606160205178,0.9281585466556564
035150,2024-02-07,0.17641025641025632,0.08296606160205178,0.8356729975227085
042700,2024-02-08,0.3581314878892734,0.09009218890405024,0.9315181518151815
029780,2024-02-08,0.08256880733944949,0.09009218890405024,0.6136551155115512
089030,2024-02-08,0.9162995594713657,0.09009218890405024,0.9876237623762376
090350,2024-02-08,0.21734475374732343,0.09009218890405024,0.8572607260726073
000660,2024-02-13,0.15384615384615374,0.08893044282338436,0.781559405940594
029780,2024-02-13,0.10197869101978685,0.08893044282338436,0.6823432343234324
131290,2024-02-13,0.4143920595533499,0.08893044282338436,0.9443069306930693
071055,2024-02-13,0.11414982164090359,0.08893044282338436,0.7108085808580858
000400,2024-02-13,0.3087378640776699,0.08893044282338436,0.9187293729372937
003545,2024-02-13,0.1003717472118959,0.08893044282338436,0.6786303630363036
005945,2024-02-13,0.06632653061224492,0.08893044282338436,0.5882838283828383
267850,2024-02-13,0.5763239875389408,0.08893044282338436,0.9698844884488449
281820,2024-02-14,0.5414847161572052,0.05378679117052121,0.9657731958762886
110990,2024-02-14,0.018711018711018657,0.05378679117052121,0.4808247422680412
394280,2024-02-14,0.858974358974359,0.05378679117052121,0.985979381443299
084110,2024-02-14,0.1863636363636363,0.05378679117052121,0.843298969072165
005430,2024-02-14,0.34009009009009006,0.05378679117052121,0.9282474226804124
066790,2024-02-14,0.45141065830720994,0.05378679117052121,0.9562886597938144
054040,2024-02-14,0.39298245614035077,0.05378679117052121,0.9435051546391753
145020,2024-02-15,0.1444067796610169,0.05048670112290932,0.8061855670103093
041190,2024-02-15,0.536936936936937,0.05048670112290932,0.9661855670103093
206650,2024-02-15,0.3308189655172413,0.05048670112290932,0.9261855670103093
147760,2024-02-15,0.5839152962378915,0.05048670112290932,0.9715463917525773
071050,2024-02-16,0.20207253886010368,0.07243759742494493,0.8495465787304205
016360,2024-02-16,0.061855670103092786,0.07243759742494493,0.6014014839241549
071055,2024-02-16,0.1233842538190364,0.07243759742494493,0.7452596867271228
264850,2024-02-16,0.9711751662971175,0.07243759742494493,0.9868095630667766
039980,2024-02-16,0.9621608757734412,0.07243759742494493,0.9863973619126134
016360,2024-02-19,0.07335907335907343,0.07589113680154158,0.6431808817470128
005387,2024-02-19,0.5372585096596136,0.07589113680154158,0.9629171817058096
003690,2024-02-19,0.058151925711676045,0.07589113680154158,0.6065100947672023
071055,2024-02-19,0.16473317865429227,0.07589113680154158,0.8141738772146683
006120,2024-02-19,0.17472118959107807,0.07589113680154158,0.8265348166460651
293940,2024-02-19,0.07530704589528114,0.07589113680154158,0.6489493201483313
005945,2024-02-19,0.0820668693009119,0.07589113680154158,0.6679027606098064
170900,2024-02-19,0.2746777077256046,0.07589113680154158,0.9031726411207252
267260,2024-02-20,0.5756154747948417,0.058703324543303514,0.9662412515438452
017670,2024-02-20,0.030710172744721653,0.058703324543303514,0.561547962124331
012510,2024-02-20,0.927461139896373,0.058703324543303514,0.9864141622066694
293940,2024-02-20,0.09808999676270647,0.058703324543303514,0.7241663235899547
114810,2024-02-20,0.17736670293797596,0.058703324543303514,0.8443804034582133
126560,2024-02-20,0.1399999999999999,0.058703324543303514,0.793742280773981
032830,2024-02-21,0.26867816091954033,0.056380140940399004,0.9094277480444627
192080,2024-02-21,0.239542950418282,0.056380140940399004,0.8966652943598189
330860,2024-02-21,0.7488151658767772,0.056380140940399004,0.9806504734458625
002710,2024-02-21,0.5838150289017341,0.056380140940399004,0.9711815561959655
059270,2024-02-21,2.023140495867769,0.056380140940399004,0.9962947715109098
000660,2024-02-22,0.20292083013066864,0.05936873747494986,0.8674351585014409
031980,2024-02-22,0.5871212121212122,0.05936873747494986,0.9687114038699053
399720,2024-02-22,1.4348785871964678,0.05936873747494986,0.9938246191848498
053160,2024-02-22,0.757430488974113,0.05936873747494986,0.9806504734458625
138040,2024-02-23,0.5183823529411764,0.06852036545263007,0.9617598684210527
039490,2024-02-23,0.37391304347826093,0.06852036545263007,0.9358552631578947
000815,2024-02-23,0.24403183023872677,0.06852036545263007,0.8943256578947368
002310,2024-02-23,0.17018633540372674,0.06852036545263007,0.8441611842105263
123890,2024-02-23,0.01777777777777767,0.06852036545263007,0.5476973684210527
340360,2024-02-23,0.5502092050209204,0.06852036545263007,0.9646381578947368
012450,2024-02-26,0.40372943751658275,0.060673328898968704,0.9477796052631579
