ticker,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct,net_return_pct
375500,2024-01-10,40750,2024-01-11,40350,breakout_failed,-0.9815950920245452,-1.2815950920245451
237880,2024-01-10,33550,2024-01-11,32800,breakout_failed,-2.235469448584204,-2.535469448584204
011280,2024-01-10,3210,2024-01-11,3175,breakout_failed,-1.0903426791277204,-1.3903426791277205
084680,2024-01-10,2310,2024-01-12,2610,breakout_failed,12.987012987012992,12.687012987012992
036630,2024-01-10,5372,2024-01-12,5161,breakout_failed,-3.927773641102006,-4.227773641102006
323410,2024-01-11,29700,2024-01-12,29400,breakout_failed,-1.0101010101010055,-1.3101010101010055
003530,2024-01-11,4400,2024-01-12,3745,breakout_failed,-14.886363636363631,-15.186363636363632
041190,2024-01-11,8020,2024-01-12,7290,breakout_failed,-9.102244389027437,-9.402244389027437
084730,2024-01-11,18900,2024-01-12,18550,breakout_failed,-1.851851851851849,-2.151851851851849
009140,2024-01-12,32200,2024-01-15,29000,breakout_failed,-9.93788819875776,-10.23788819875776
950160,2024-01-11,11690,2024-01-16,13100,breakout_failed,12.061591103507263,11.761591103507262
003280,2024-01-12,4085,2024-01-16,4230,breakout_failed,3.5495716034271707,3.249571603427171
323410,2024-01-15,31450,2024-01-16,30450,breakout_failed,-3.1796502384737635,-3.4796502384737633
004140,2024-01-15,3065,2024-01-16,2850,breakout_failed,-7.014681892332786,-7.314681892332786
348370,2024-01-15,107000,2024-01-17,114000,breakout_failed,6.542056074766345,6.242056074766345
138040,2024-01-16,61100,2024-01-17,59000,breakout_failed,-3.436988543371522,-3.7369885433715218
008930,2024-01-16,56200,2024-01-17,49850,breakout_failed,-11.298932384341642,-11.598932384341643
089030,2024-01-16,12470,2024-01-17,12230,breakout_failed,-1.9246190858059344,-2.2246190858059345
065450,2024-01-17,6900,2024-01-18,6140,breakout_failed,-11.014492753623184,-11.314492753623185
348370,2024-01-18,129000,2024-01-19,105100,breakout_failed,-18.527131782945737,-18.827131782945738
405100,2024-01-17,18010,2024-01-22,27750,breakout_failed,54.081066074403104,53.78106607440311
300080,2024-01-18,14042,2024-01-22,17544,breakout_failed,24.93946731234866,24.63946731234866
131370,2024-01-18,5170,2024-01-22,5370,breakout_failed,3.868471953578334,3.5684719535783342
093320,2024-01-19,119000,2024-01-22,120000,breakout_failed,0.8403361344537785,0.5403361344537785
950190,2024-01-19,13330,2024-01-22,13140,breakout_failed,-1.4253563390847712,-1.7253563390847713
082210,2024-01-19,4585,2024-01-22,4550,breakout_failed,-0.7633587786259555,-1.0633587786259555
039030,2024-01-19,183900,2024-01-23,191200,breakout_failed,3.969548667754208,3.669548667754208
080220,2024-01-19,26250,2024-01-23,30700,breakout_failed,16.952380952380963,16.652380952380962
089030,2024-01-19,14600,2024-01-23,15200,breakout_failed,4.109589041095885,3.809589041095885
005430,2024-01-19,54100,2024-01-23,54500,breakout_failed,0.7393715341959428,0.4393715341959428
051370,2024-01-19,15270,2024-01-23,17790,breakout_failed,16.502946954813357,16.202946954813356
124500,2024-01-22,10320,2024-01-23,10000,breakout_failed,-3.100775193798455,-3.400775193798455
253590,2024-01-22,14270,2024-01-23,13150,breakout_failed,-7.848633496846535,-8.148633496846536
079940,2024-01-22,19140,2024-01-23,18920,breakout_failed,-1.1494252873563204,-1.4494252873563205
029460,2024-01-22,22600,2024-01-23,23050,breakout_failed,1.9911504424778848,1.6911504424778847
065680,2024-01-22,16980,2024-01-23,16850,breakout_failed,-0.765606595995294,-1.065606595995294
241520,2024-01-22,4930,2024-01-23,4170,breakout_failed,-15.415821501014204,-15.715821501014204
264850,2024-01-22,7220,2024-01-23,5900,breakout_failed,-18.28254847645429,-18.582548476454292
142210,2024-01-22,7300,2024-01-23,7340,breakout_failed,0.5479452054794498,0.24794520547944982
047560,2024-01-19,39100,2024-01-24,40800,breakout_failed,4.347826086956519,4.047826086956519
085670,2024-01-22,8530,2024-01-24,7990,breakout_failed,-6.330597889800704,-6.630597889800704
087600,2024-01-22,11700,2024-01-24,12800,breakout_failed,9.401709401709413,9.101709401709412
399720,2024-01-23,75900,2024-01-24,71300,breakout_failed,-6.060606060606055,-6.360606060606055
211050,2024-01-23,3800,2024-01-24,3696,breakout_failed,-2.73684210526316,-3.03684210526316
