ticker,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct
138930,2023-11-22,7070,2023-11-23,7110,trend_filter_false,0.5657708628005631
031980,2023-11-22,28550,2023-11-23,26400,trend_filter_false,-7.530647985989491
094170,2023-11-22,20472,2023-11-23,18876,trend_filter_false,-7.796014067995316
018290,2023-11-22,18910,2023-11-23,18210,trend_filter_false,-3.7017451084082498
003720,2023-11-22,5280,2023-11-23,5110,trend_filter_false,-3.2196969696969724
091120,2023-11-22,51300,2023-11-23,50100,trend_filter_false,-2.3391812865497075
315640,2023-11-22,10776,2023-11-23,10476,trend_filter_false,-2.7839643652561197
094970,2023-11-22,3965,2023-11-23,3870,trend_filter_false,-2.395964691046659
010140,2023-11-22,7960,2023-11-24,7630,trend_filter_false,-4.145728643216085
257720,2023-11-22,8860,2023-11-24,8630,trend_filter_false,-2.5959367945823875
356860,2023-11-22,24272,2023-11-24,23087,trend_filter_false,-4.882168754119975
950140,2023-11-22,13200,2023-11-24,12780,trend_filter_false,-3.1818181818181857
222040,2023-11-22,6210,2023-11-24,6000,trend_filter_false,-3.3816425120772986
192650,2023-11-23,12130,2023-11-24,11810,trend_filter_false,-2.638087386644683
196300,2023-11-23,15450,2023-11-24,14700,trend_filter_false,-4.854368932038833
095340,2023-11-22,88000,2023-11-27,80000,trend_filter_false,-9.090909090909093
003850,2023-11-22,10100,2023-11-27,9890,trend_filter_false,-2.079207920792081
250060,2023-11-22,5300,2023-11-27,5050,trend_filter_false,-4.716981132075471
173130,2023-11-22,15726,2023-11-27,13917,trend_filter_false,-11.50324303700877
224110,2023-11-22,14380,2023-11-27,14310,trend_filter_false,-0.48678720445062273
376930,2023-11-22,5342,2023-11-27,4611,trend_filter_false,-13.68401347809809
087010,2023-11-23,35373,2023-11-27,30527,trend_filter_false,-13.699714471489555
001200,2023-11-23,4020,2023-11-27,3990,trend_filter_false,-0.7462686567164201
229000,2023-11-23,6110,2023-11-27,5750,trend_filter_false,-5.891980360065463
200670,2023-11-24,36150,2023-11-27,35000,trend_filter_false,-3.18118948824343
002710,2023-11-24,55900,2023-11-27,53100,trend_filter_false,-5.008944543828264
084650,2023-11-24,4130,2023-11-27,3950,trend_filter_false,-4.358353510895885
006110,2023-11-22,118900,2023-11-28,119400,trend_filter_false,0.420521446593769
311320,2023-11-22,12270,2023-11-28,12260,trend_filter_false,-0.08149959250203231
189690,2023-11-23,2785,2023-11-28,2665,trend_filter_false,-4.308797127468578
017890,2023-11-27,11510,2023-11-28,11420,trend_filter_false,-0.7819287576020906
002800,2023-11-27,6450,2023-11-28,6280,trend_filter_false,-2.635658914728678
004020,2023-11-22,35750,2023-11-29,35100,trend_filter_false,-1.8181818181818188
017800,2023-11-22,45950,2023-11-29,44700,trend_filter_false,-2.7203482045701888
009970,2023-11-22,80000,2023-11-29,77700,trend_filter_false,-2.8750000000000053
105630,2023-11-22,22950,2023-11-29,21250,trend_filter_false,-7.4074074074074066
126560,2023-11-22,3200,2023-11-29,3255,trend_filter_false,1.7187499999999911
066790,2023-11-22,2795,2023-11-29,2005,trend_filter_false,-28.264758497316635
377480,2023-11-22,29100,2023-11-29,28200,trend_filter_false,-3.0927835051546393
020710,2023-11-22,6900,2023-11-29,4835,trend_filter_false,-29.927536231884055
000430,2023-11-24,5480,2023-11-29,5210,trend_filter_false,-4.92700729927007
206640,2023-11-27,18320,2023-11-29,17630,trend_filter_false,-3.7663755458515302
000490,2023-11-27,15190,2023-11-29,14270,trend_filter_false,-6.056616194865039
001740,2023-11-28,5910,2023-11-29,5790,trend_filter_false,-2.030456852791873
003850,2023-11-28,9920,2023-11-29,9710,trend_filter_false,-2.116935483870963
200670,2023-11-28,35050,2023-11-29,33700,trend_filter_false,-3.851640513552068
033270,2023-11-28,25250,2023-11-29,25100,trend_filter_false,-0.5940594059405946
173130,2023-11-28,14153,2023-11-29,13635,trend_filter_false,-3.6600014131279557
005940,2023-11-22,10390,2023-11-30,10260,trend_filter_false,-1.2512030798844997
175330,2023-11-22,10940,2023-11-30,10390,trend_filter_false,-5.027422303473495
179900,2023-11-22,31550,2023-11-30,29300,trend_filter_false,-7.131537242472263
066360,2023-11-22,1689,2023-11-30,1490,trend_filter_false,-11.782119597394914
025950,2023-11-28,18400,2023-11-30,16520,trend_filter_false,-10.217391304347823
323280,2023-11-29,2701,2023-11-30,2629,trend_filter_false,-2.6656793780081456
003720,2023-11-29,5250,2023-11-30,5130,trend_filter_false,-2.285714285714291
036010,2023-11-29,15980,2023-11-30,15850,trend_filter_false,-0.8135168961201478
039030,2023-11-22,169300,2023-12-01,149500,trend_filter_false,-11.695215593620789
022100,2023-11-22,55400,2023-12-01,52700,trend_filter_false,-4.873646209386284
081660,2023-11-22,39200,2023-12-01,37800,trend_filter_false,-3.57142857142857
213420,2023-11-22,47350,2023-12-01,45200,trend_filter_false,-4.540654699049629
028100,2023-11-22,13830,2023-12-01,12980,trend_filter_false,-6.146059291395522
079960,2023-11-22,20950,2023-12-01,20450,trend_filter_false,-2.3866348448687402
334970,2023-11-22,4930,2023-12-01,4645,trend_filter_false,-5.780933062880322
010100,2023-11-22,7580,2023-12-01,7360,trend_filter_false,-2.902374670184693
031980,2023-11-30,27500,2023-12-01,26550,trend_filter_false,-3.4545454545454546
117730,2023-11-30,23100,2023-12-01,22250,trend_filter_false,-3.6796536796536827
192650,2023-11-30,11840,2023-12-01,11550,trend_filter_false,-2.44932432432432
017890,2023-11-30,11490,2023-12-01,11380,trend_filter_false,-0.9573542210617902
357550,2023-11-30,53200,2023-12-01,51500,trend_filter_false,-3.195488721804507
066790,2023-11-30,2270,2023-12-01,2090,trend_filter_false,-7.929515418502198
067310,2023-11-22,25346,2023-12-04,23679,trend_filter_false,-6.576974670559455
005180,2023-11-22,57400,2023-12-04,54600,trend_filter_false,-4.878048780487809
064290,2023-11-22,34700,2023-12-04,31050,trend_filter_false,-10.518731988472618
003780,2023-11-22,7230,2023-12-04,6860,trend_filter_false,-5.117565698478566
010640,2023-11-22,6147,2023-12-04,5618,trend_filter_false,-8.60582397917683
103590,2023-11-24,13330,2023-12-04,12195,trend_filter_false,-8.514628657164291
315640,2023-11-24,11466,2023-12-04,9716,trend_filter_false,-15.262515262515263
038870,2023-11-28,6390,2023-12-04,6070,trend_filter_false,-5.007824726134579
006110,2023-11-30,129400,2023-12-04,121500,trend_filter_false,-6.1051004636785144
226330,2023-11-30,10099,2023-12-04,9648,trend_filter_false,-4.465788691949701
017670,2023-11-22,52000,2023-12-05,50300,trend_filter_false,-3.2692307692307687
007660,2023-11-22,30926,2023-12-05,25820,trend_filter_false,-16.510379615857207
084370,2023-11-22,43250,2023-12-05,39000,trend_filter_false,-9.826589595375722
328130,2023-11-22,42327,2023-12-05,36843,trend_filter_false,-12.956269048125312
053610,2023-11-22,50500,2023-12-05,47100,trend_filter_false,-6.732673267326728
093320,2023-11-22,83000,2023-12-05,82600,trend_filter_false,-0.48192771084337727
425420,2023-11-22,41450,2023-12-05,33550,trend_filter_false,-19.05910735826297
253590,2023-11-22,4055,2023-12-05,3850,trend_filter_false,-5.055487053020958
214430,2023-11-22,34700,2023-12-05,31450,trend_filter_false,-9.365994236311238
039440,2023-11-22,34050,2023-12-05,29600,trend_filter_false,-13.069016152716594
237880,2023-11-22,29250,2023-12-05,27950,trend_filter_false,-4.444444444444439
041020,2023-11-22,4970,2023-12-05,4595,trend_filter_false,-7.5452716297786715
014530,2023-11-22,5070,2023-12-05,4350,trend_filter_false,-14.201183431952657
045660,2023-11-22,13100,2023-12-05,12070,trend_filter_false,-7.862595419847329
370090,2023-11-22,34750,2023-12-05,31600,trend_filter_false,-9.064748201438844
096630,2023-11-22,10850,2023-12-05,9640,trend_filter_false,-11.152073732718893
060540,2023-11-22,2880,2023-12-05,2620,trend_filter_false,-9.027777777777779
226340,2023-11-22,11395,2023-12-05,10590,trend_filter_false,-7.064501974550241
009620,2023-11-22,6473,2023-12-05,6292,trend_filter_false,-2.7962304959060713
146320,2023-11-23,20750,2023-12-05,19060,trend_filter_false,-8.144578313253014
115610,2023-11-27,6360,2023-12-05,5896,trend_filter_false,-7.295597484276728
095340,2023-11-28,81500,2023-12-05,78600,trend_filter_false,-3.5582822085889587
